edu2M,workF,LifeExp,EduYExp,GNI,Mdeaths,Alabours,parlament
96.7,61.2,81.6,17.5,5,4,7.8,39.6
94.6,58.8,82.4,20.2,17,6,12.1,30.5
96.6,61.8,83,15.8,6,6,1.9,28.5
96.6,58.7,80.2,18.7,11,5,5.1,38
90.5,58.5,81.6,17.9,9,6,6.2,36.9
97,53.6,80.9,16.5,11,7,3.8,36.9
78.6,53.1,80.9,18.6,16,9,8.2,19.9
94.8,56.3,79.1,16.5,3,28,31,19.4
100,61.6,82,15.9,11,11,14.5,28.2
95.3,62,81.8,19.2,23,8,25.3,31.4
81,58.8,83,15.4,-7,6,6,25.3
87.3,60.3,82.2,15.8,-1,4,6.5,43.6
99.9,55.7,80.7,16.2,9,8,25.8,23.5
91.6,70.5,82.6,19,12,4,11.5,41.3
89.1,50.1,81.9,16.9,13,27,2.2,16.3
87.3,57.9,82.4,16,16,2,7.8,22.5
100,50.7,81.7,13.9,-11,11,8.3,28.3
85.8,48.8,83.5,15.3,7,6,5.4,11.6
82.9,47.5,80.8,16.3,0,6,6.7,42.4
83.2,50.7,82.2,16,4,12,5.7,25.7
100,54.6,81.4,15.7,-5,4,4.1,30.3
100,55.7,80.8,17.1,0,4,9.2,42.5
98,52.3,80.4,16.8,12,7,0.6,27.7
73.1,52.5,82.6,17.3,7,4,10.6,38
80.5,39.6,83.1,16,4,4,4,30.1
99.7,51.1,78.6,16.4,10,5,4.9,18.9
67,44.2,80.9,17.6,14,5,11.9,21
100,56.2,76.8,16.5,12,11,16.8,19.8
81.7,56,80.2,14,3,10,5.5,12.5
59,50.8,78.2,13.8,-31,6,9.5,0
99.5,51.1,76.3,15.1,5,7,15.9,18.7
85.5,48.9,77.4,15.5,10,3,12.2,22.1
94.3,55.8,73.3,16.4,7,11,10.6,23.4
78.2,37.9,80.6,14.4,-1,9,18.2,13
70.3,20.2,74.3,16.3,-27,16,10.2,19.9
57.6,47.5,76.3,17.9,11,69,54.4,36.8
61.2,46.5,77,13.3,-34,8,27.6,17.5
76.4,49.2,81.7,15.2,11,22,55.3,15.8
48.2,54.9,80.9,16.3,-2,8,12.6,31.3
98.7,44.8,75.2,15.4,3,14,12.1,10.1
51.4,39.2,76.6,14.4,-20,22,13.8,15
99,54.9,74.2,15.2,4,13,13.5,18
93.6,44.7,77.3,14.8,11,13,12.7,25.8
56.3,43.6,74.4,14.7,-46,14,14.5,1.5
94.7,43,76.2,15.2,27,7,15.2,17.3
92.2,50.1,71.3,15.7,14,1,20.6,30.1
92.5,57.1,70.1,14.7,-1,24,25.7,14.5
57.1,29,76.8,13.6,-23,11,10.6,9.6
92,48.7,74.7,14.2,10,33,31,12
50.3,55.6,77.2,15.5,7,14,58.3,11.5
87.6,69.3,75.4,12.6,-3,37,28.5,16.7
98.8,67.7,69.4,15,-1,26,29.9,20.1
87.7,65.9,75.6,15.4,27,52,48.4,19.6
95.7,47.9,74.2,14.4,13,5,35.9,20.4
49.9,49,77.6,13.3,1,85,78.5,19.3
71.3,44.4,74.7,12.7,-14,29,5.7,14.2
58,43.6,74.4,15.6,0,73,30.9,11.6
60.9,53,70.4,12.3,-25,84,34.8,24.7
73.6,44.5,74.9,14.4,20,16,16.9,34
78.8,43.4,79.4,13.8,47,80,43.1,48.9
55.4,23.3,79.3,13.8,-1,16,12,3.1
50.5,46.6,79.4,13.9,10,38,60.8,33.3
67.6,16.6,75.4,15.1,4,23,31.6,3.1
50.8,51.1,74.2,14.2,-2,110,83.2,17
60,29.4,75.3,14.5,-12,20,30.9,14.4
76.4,35.1,74.9,13.7,29,29,16.9,5.8
60.6,45.1,76.8,13.1,-4,49,63.4,37.1
52.4,59.4,74.5,15.2,-1,69,70.8,9.6
92.7,56.5,74.9,13.8,40,41,46.8,11.3
97.4,62.9,70.8,11.9,-11,26,40,15.6
78.5,15.6,74,13.5,11,50,26.5,11.6
55.6,43.1,75.4,13.4,9,7,18.3,33.3
95.9,53.2,71,15.1,25,23,25.7,11.8
31,15.2,74.8,14,-1,89,10,25.7
66.1,68.2,74.6,13.1,8,89,50.7,22.3
87.9,44.9,77.8,11.8,14,21,15.3,20.7
95,54.2,74.7,12.3,22,29,27.1,10.7
69.8,34.1,76.5,13.6,19,8,15.1,19.3
39.4,54.7,75.9,14.2,7,87,77,41.6
71.9,63.9,75.8,13.1,-7,32,8.6,23.6
64.5,37.5,70,15.7,21,59,42.8,14
84.1,56.6,69.4,14.6,4,68,18.7,14.9
40.8,64.3,74.4,13.5,-13,26,41,6.1
41.9,30,71.6,14,-19,15,2.5,16
46.1,25.1,74.8,14.6,1,46,4.6,31.3
55.6,55.8,74,13.5,-9,83,68.5,20.9
70.2,56.1,75.7,12.4,13,80,70.1,16.7
88.3,53.5,72.8,14.7,32,120,18.1,0
75.8,49.2,70,13.6,9,45,71.4,13.3
53.1,51.3,73.5,13.1,-12,100,99.6,19.1
47.1,40.5,71.1,12.7,-32,130,35.2,11.8
32.7,56.2,76.8,13,-19,31,4.2,5.9
60,23.5,73.4,12.9,24,58,28.3,6.1
77.9,71.9,64.5,12.5,-41,170,44.2,9.5
96.6,37.6,71.6,11.9,23,21,29.3,20.8
60.6,23.7,71.1,13.5,-12,45,43,2.2
36.1,56.2,64.4,12.5,-42,240,103,16.2
49.2,51.4,68.9,13,-9,190,48.3,17.1
43,55.7,72.9,11.9,-3,110,67,16.8
63.7,51.1,68.2,11.3,-7,120,46.8,27.1
43.6,47.8,73,12.3,-3,69,76,27.4
75.9,44.5,57.4,13.6,-29,140,50.9,40.7
71.2,73,75.8,11.9,15,49,29,24.3
59.1,64.2,68.3,13.2,4,200,71.9,51.8
96.8,56,70.6,12.5,29,75,29.3,23.3
50.2,14.9,69.4,10.1,-44,67,68.7,26.5
47.8,42.6,66.4,10.3,-4,250,88.5,31.3
38.3,47.4,74.9,11.5,12,100,100.8,39.1
30.2,26.5,74,11.6,-8,120,35.8,11
34.4,54.7,64.8,11.3,-21,130,54.9,37.7
23.2,49.3,71.8,10.7,-11,140,97.2,13.3
91.2,58.9,69.4,11.2,27,44,42.8,15.2
56.6,27,68,11.7,-4,190,32.8,12.2
25.8,42.8,73.1,11.1,7,120,84,25.8
34.5,66.7,69.5,12.6,-17,120,40.9,8.3
40.5,13.5,69.6,12.3,21,49,41.6,12.4
47,68.5,62.3,11.1,-14,410,126.7,11.5
44,73.1,60.1,13.5,2,280,125.4,12.7
64.7,67.3,61.4,11.5,-1,380,58.4,10.9
41.3,57.4,71.6,10,5,170,80.6,20
22.9,78.8,68.4,10.9,7,170,44.3,19
31.4,62.2,61.6,11,9,400,93.6,20.8
38.2,79.9,69.6,12.4,16,190,73.7,29.5
46.1,24.6,66.2,7.8,-14,170,27.3,19.7
15.3,75.2,65.9,8.6,-12,200,12.1,4.7
26,43.9,49,11.3,-25,310,72,14.7
9.5,88.1,65,9.2,8,410,122.7,36
34.9,63.8,55.5,10.4,-1,590,115.8,27.1
62,83.2,57.5,10.9,13,470,60.3,35.1
20.9,28.7,63.1,8.5,-14,320,73.3,22.2
14.5,70.5,62.6,9.9,-1,220,62.1,2.7
26.7,25.4,63.8,9.2,-17,270,47,0.7
19,59,49.8,11.1,-16,490,89.4,26.8
40.3,80.6,59.7,12.2,17,450,91.5,17.6
35.2,60.9,62.8,8.7,4,380,42,3.5
8.8,86.4,64.2,10.3,11,320,33.6,57.5
33.5,75.8,58.5,9.8,6,360,126.6,35
27,67.6,59.6,11.1,0,340,90.2,8.4
18.2,31.3,63.5,7,-27,360,84,23.8
15.4,66,66.5,7.9,-8,320,94.4,42.7
29.8,15.8,60.4,9.3,-7,400,86.8,27.6
30.1,52.4,51.5,8.9,-24,720,130.3,9.2
21.6,84.6,62.8,10.8,13,510,144.8,16.7
18.2,78.2,64.1,8.5,2,420,78.4,25.5
31.5,72.2,60.2,8.8,-2,430,115.8,9.4
32.4,70.7,58.7,9.8,11,730,135.3,8.2
39.3,58.2,60.9,9.5,7,640,117.4,10.7
15.1,50.8,58,8.4,-8,550,175.6,9.5
6.2,85.5,55.1,9.3,1,480,137.8,39.6
21.7,65.7,50.9,8.6,-16,1100,100.7,12.4
3.2,77.1,58.7,7.8,-13,400,115.4,13.3
8.3,83.3,56.7,10.1,1,740,30.3,34.9
9.9,64,51.6,7.4,-22,980,152,14.9
26.7,72.6,50.7,7.2,1,880,98.3,12.5
7.8,40,61.4,5.4,-5,630,204.8,13.3
